Country Name,Languages,Name in Original language,Population,Pop. Rank,Pop Rank Stars,Pop Growth,Pop. Growth Rank,Pop Growh Rank Stars,GDP (Million US$),GDP Rank,GDP Rank Stars,GDP per capita (USD),GDP per capita Rank,GDP per capita Rank Stars,Continent,Capital,Government,"Area, Sq km2",Area Rank,Area Rank Stars,Currency,Gini Index,Gini Rank,Gini Index Rank Stars,Climate,EU?,Schengen?,WPFI,WPFI Rank,WPFI Rank Stars,HDI,HDI Rank,HDI Rank Stars,General info,Iso Code,Len(info),Len(name),Non-Independent,Chinese
Ireland,"English, Irish","Ireland, Éire","5,056,935",123,2,0.67%,121,2,"504,183",26,3,"99,701",4,5,Europe,Dublin,Republic,70273,118,2,European euro,26.9,17,5,"Temperate; oceanic, consistent rainfall",Yes,No,89.91,2,5,0.945,7,5,"Ireland, the Celtic Tiger, emerged from centuries of British rule and the devastating 1845 Potato Famine that killed one million people. Home to ancient megalithic tombs older than the pyramids, including the 5,200-year-old Newgrange passage tomb, it's given the world literary giants like Joyce and Yeats. The Troubles (1968-1998) marked decades of sectarian violence, but today Ireland is a global tech hub, while maintaining its rich traditions of music, dance, and storytelling.",IE,482,7,No,爱尔兰
Israel,"Arabic, Hebrew","Israʼiyl إسرائيل, Yisra'el ישראל","9,174,520",97,2,1.51%,64,3,"481,591",29,3,"52,492",17,5,Asia,Jerusalem,Republic,20770,149,2,Israeli new shekel,38.6,108,3,Mediterranean; desert in south,,,57.57,93,2,0.919,21,5,"Israel, established in 1948 following the Holocaust, has transformed desert into fertile land through innovative drip irrigation. It has the highest number of startups per capita and more companies on the NASDAQ than any country except the U.S. and China. The country's history is marked by multiple wars, the controversial occupation of Palestinian territories, and the ongoing Israeli-Palestinian conflict. Jerusalem, claimed by both sides, houses sacred sites of three major religions, while Tel Aviv stands as the Middle East's tech hub.",IL,541,6,No,以色列
Italy,Italian,Italia,"58,870,763",25,4,-0.28%,180,1,"2,107,703",8,4,"35,802",28,5,Europe,Rome,Republic,301339,71,3,European euro,35.2,74,4,Varied; Mediterranean to alpine,Yes,Yes,72.05,40,3,0.895,29,5,"Italy, heir to the Roman Empire, birthed the Renaissance and shaped Western civilization through art, architecture, and philosophy. Home to the most UNESCO sites in the world, it gave the world Dante's poetry, Vivaldi's music, and da Vinci's genius. While Mussolini's fascist regime (1922-1943) left deep scars, Italy's influence spans from Ferrari's racing excellence to Gucci's fashion, Fellini's cinema, and culinary treasures like espresso culture and regional cuisines, despite ongoing challenges with organized crime, economic debt, and a famously volatile political scene.",IT,579,5,No,意大利
Ivory Coast,French,Côte d'Ivoire,"28,873,034",51,3,2.53%,26,4,"69,765",74,2,"2,416",139,2,Africa,Yamoussoukro,Republic,322463,68,3,West African CFA franc,37.2,95,3,"Tropical; hot, wet seasons",,,68.83,53,3,0.55,158,2,"Ivory Coast, West Africa's economic giant, blends French colonial heritage with vibrant indigenous cultures like the Baoulé and Senufo, known for intricate mask traditions. Beyond producing 40% of global cocoa, it's home to traditional Griot storytellers and the world's largest church, Yamoussoukro Basilica. The 2002-2007 civil war between the Muslim north and Christian south reshaped national identity. Modern Abidjan, the ""Paris of West Africa,"" pulses with Coupé-Décalé music and contemporary art, while traditional festivals like the Fêtes des Masques preserve ancient customs.",CI,584,11,No,科特迪瓦
Jamaica,English,Jamaica,"2,825,544",136,2,-0.06%,169,1,"14,658",131,1,"5,188",105,2,North America,Kingston,Constitutional monarchy,10991,160,2,Jamaican dollar,35,70,4,"Tropical; hot, humid",,,75.89,32,4,0.709,109,4,"Jamaica, a vibrant Caribbean nation, captivates with its reggae music legacy, spearheaded by Bob Marley, and dominance in sprint athletics with legends like Usain Bolt. The island's history is marked by colonial slavery and the resilient Maroon communities who fought British rule. Today, it's known for its pristine beaches, Blue Mountain coffee, and distinctive patois language. While tourism drives its economy, the nation grapples with high crime rates in urban areas, particularly Kingston, and vulnerability to hurricanes that frequently impact its infrastructure and agriculture.",JM,586,7,No,牙买加
Japan,Japanese,Nippon 日本,"123,294,513",12,5,-0.53%,187,1,"4,940,878",3,4,"40,074",27,5,Asia,Tokyo,Constitutional monarchy,377976,62,3,Japanese yen,33.4,54,4,Varied; tropical to cool temperate,,,63.95,66,2,0.925,18,5,"Japan fascinates with its striking contrasts: serene Zen gardens alongside neon-lit Akihabara, ancient samurai traditions meeting robot restaurants. Its technological innovations revolutionized electronics and automotive industries, while cultural exports like anime and manga shape global pop culture. The nation's history encompasses the samurai era, WWII atrocities including Nanking, and remains the only country to endure atomic warfare. Modern Japan leads in robotics and life expectancy but faces challenges with its aging society, work culture-related karoshi, and natural disasters.",JP,591,5,No,日本
Jordan,Arabic,Al-'Urdun الأردن,"11,337,053",82,2,0.45%,141,2,"45,244",90,1,"3,991",117,2,Asia,Amman,Constitutional monarchy,89342,110,2,Jordanian dinar,35.4,76,4,"Arid; desert, Mediterranean influences",,,42.79,141,1,0.72,101,4,"Jordan, home to the rose-red city of Petra and ancient Greco-Roman ruins, stands as a beacon of stability in the Middle East. The Hashemite Kingdom's history intertwines with Biblical narratives and Lawrence of Arabia's campaigns. Its landscape features the lowest point on Earth at the Dead Sea and the Mars-like Wadi Rum desert. While maintaining diplomatic ties with Israel and the West, Jordan struggles with water scarcity, hosting millions of Syrian refugees, and economic challenges despite being a major tourist destination.",JO,532,6,No,约旦
Kazakhstan,"Kazakh, Russian","Qazaqstan Қазақстан, Kazakhstán Казахстан","19,606,634",65,2,1.08%,86,3,"193,018",53,2,"9,845",72,2,Asia,Astana,Republic,2724900,9,5,Kazakhstani tenge,27.8,21,5,"Continental; hot summers, cold winters",,,45.87,130,2,0.811,55,4,"Kazakhstan, world's largest landlocked country, embodies the fusion of ancient Silk Road heritage and modern ambition. Its vast steppes witnessed nomadic empires, from Scythians to Mongols, leaving behind mysterious geoglyphs and golden artifacts. Soviet-era nuclear testing left environmental scars, while forcing 1.5 million Kazakhs into exile. Today, oil-rich Kazakhstan hosts the world's primary spaceport, Baikonur Cosmodrome, while its people celebrate traditional eagle hunting, poetry competitions, and the ancient game of kokpar, balancing tradition with modernization under authoritarian rule.",KZ,603,10,No,哈萨克斯坦
Kenya,"English, Swahili",Kenya,"55,100,587",26,4,1.99%,44,3,"110,347",62,2,"2,003",147,2,Africa,Nairobi,Republic,580367,48,4,Kenyan shilling,40.8,125,3,Diverse; tropical with highlands,,,51.15,112,2,0.575,151,2,"Kenya, cradle of humanity, where 3.3-million-year-old fossils tell our origin story, embodies Africa's diversity. The Great Migration sees millions of wildebeest cross Maasai Mara's savanna, while ancient Swahili coastal cities reveal centuries of Indian Ocean trade. The Mau Mau rebellion (1952-1960) against British colonialism shaped national identity. Modern Kenya leads Africa's tech innovation with in mobile banking, while maintaining vibrant traditions from 42 ethnic groups. Despite challenges from Al-Shabaab terrorism, it preserves unique cultures like the Maasai warriors and Samburu ceremonies.",KE,607,5,No,肯尼亚
Kiribati,"English, Gilbertese",Kiribati,"133,515",178,1,1.74%,55,3,227,191,1,"1,700",152,1,Oceania,Tarawa,Republic,811,172,1,Australian dollar,37,92,3,"Tropical; hot, humid, oceanic",,,-,-,0,0.624,135,3,"Kiribati, a Pacific nation straddling the International Date Line, is the first country to welcome each new day. Its 33 coral atolls span over 3.5 million square kilometers of ocean, though its total land area is just 800 km². Known for its traditional navigation techniques and rich marine biodiversity, it faces existential threats from rising sea levels. During World War II, its Tarawa atoll witnessed one of the bloodiest battles in the Pacific, and today, the country is actively planning for potential relocation of its entire population due to climate change.",KI,567,8,No,基里巴斯
Kuwait,Arabic,Dawlat ul-Kuwayt دولة الكويت,"4,310,108",127,2,0.97%,94,2,"136,642",58,2,"31,703",31,4,Asia,Kuwait City,Constitutional monarchy,17818,152,2,Kuwaiti dinar,52.9,162,1,"Desert; extremely hot, arid",,,38.84,149,1,0.831,49,4,"Kuwait, a Persian Gulf powerhouse, emerged from Iraqi invasion in 1990-91 to rebuild itself into one of the world's richest countries per capita. Its iconic Kuwait Towers symbolize its modern transformation from a pearl-diving center to an oil giant. The country's unique ""diwaniya"" culture, where men gather in special reception areas for political discussions, shapes its semi-democratic system. Despite its wealth, Kuwait grapples with the stateless Bedoon crisis, environmental challenges from oil industry, and preserving its traditional maritime heritage.",KW,561,6,No,科威特
Kyrgyzstan,"Kyrgyz, Russian","Kyrgyzstan Кыргызстан, Kirgizija Киргизия","6,735,348",107,2,1.58%,58,3,"8,741",148,1,"1,298",161,1,Asia,Bishkek,Republic,199951,85,3,Kyrgyzstani som,29,25,5,Continental; seasonal extremes,,,49.91,118,2,0.692,117,3,"Kyrgyzstan, known as the ""Switzerland of Central Asia,"" hosts the world's largest natural-growth walnut forest and the spectacular Tian Shan mountains. Home to the World Nomad Games, it celebrates traditional sports like eagle hunting and dead goat polo. The country has experienced three revolutions since 2005, reflecting its volatile politics. Its Soviet legacy includes the world's largest uranium tailing dumps, while its ancient Silk Road heritage is preserved in sites like the Tash Rabat caravanserai.",KG,509,10,No,吉尔吉斯斯坦
Laos,Lao,Lao ປະເທດລາວ,"7,633,779",102,2,1.39%,73,3,"19,074",115,1,"2,499",138,2,Asia,Vientiane,Republic,236800,82,3,Lao kip,38.8,110,3,Tropical; monsoon seasons,,,36.66,155,1,0.607,141,3,"Laos holds the tragic distinction of being the most heavily bombed country per capita in history, with over 2 million tons of ordnance dropped during the ""Secret War"" (1964-73), much of which remains unexploded. Home to the mysterious Plain of Jars, megalithic structures thousands of years old, and 49 officially recognized ethnic groups. Despite being a communist state, it has embraced tourism, showcasing its French colonial architecture, ancient temples, and the UNESCO-protected city of Luang Prabang.",LA,507,4,No,老挝
Latvia,Latvia,Latvija,"1,830,212",148,1,-1.10%,191,1,"39,854",94,1,"21,776",44,4,Europe,Riga,Republic,64559,122,2,European euro,35.7,81,4,"Temperate; wet, moderate winters",Yes,Yes,83.27,16,4,0.863,38,5,"Latvia, a Baltic tech hub with Europe's fastest internet, emerged from Soviet occupation through the remarkable ""Singing Revolution."" Its capital, Riga, boasts the world's largest collection of Art Nouveau architecture and was once called the ""Paris of the North."" The country's rapid digital transformation contrasts with its ancient pagan traditions, still celebrated today. Latvia's forests cover half its territory, and its unique black balsam liqueur, once used as medicine, reflects its fascinating pharmaceutical history.",LV,528,6,No,拉脱维亚
Lebanon,"Arabic, French","Lubnān لبنان, Liban","5,353,930",120,2,-2.47%,194,1,"37,945",97,1,"7,087",88,2,Asia,Beirut,Republic,10452,161,2,Lebanese pound,31.8,44,4,"Mediterranean; hot summers, mild winters",,,50.46,115,2,0.706,111,4,"A land of epic history, Lebanon was once the heart of the Phoenician Empire and its capital, Beirut, lauded as the 'Paris of the East'. This ancient heritage, with 5 UNESCO sites and millennia of winemaking, stands in stark contrast to its modern turmoil. Scarred by a 15-year civil war and the catastrophic 2020 Beirut port explosion, the nation now grapples with a severe economic crisis and hosts the world's highest number of refugees per capita. Its story is a dramatic tapestry of glorious highs and profound lows, making it one of the most complex and fascinating nations in the Middle East.",LB,598,7,No,黎巴嫩
Lesotho,"English, Sesotho",Lesotho,"2,330,318",144,2,1.06%,88,3,"2,373",169,1,"1,018",168,1,Africa,Maseru,Constitutional monarchy,30355,137,2,Lesotho loti,44.9,151,2,Temperate; cool to cold,,,64.29,65,2,0.514,167,2,"Known as the 'Kingdom of the Sky', Lesotho is a nation of extremes. It is the only country on Earth entirely above 1,000 meters, with its lowest point being the highest in the world at 1,400m. This high-altitude, landlocked enclave within South Africa boasts ski resorts and Africa's highest pub. Its main export is water, sold to its neighbor. The Basotho people are known for their iconic blankets and unique cave dwellings. However, this stunning mountain kingdom faces immense hardship, tragically holding the world's second-highest HIV prevalence rate, a stark contrast to its natural beauty.",LS,597,7,No,莱索托
Liberia,English,Liberia,"5,418,377",118,2,2.18%,40,4,"2,445",167,1,451,189,1,Africa,Monrovia,Republic,111369,102,3,Liberian dollar,35.3,75,4,"Tropical; hot, wet seasons",,,64.34,64,2,0.481,177,1,"Founded by freed American slaves, Liberia is Africa's oldest republic, a unique history reflected in its flag and a capital, Monrovia, named after a U.S. President. This heritage of freedom is tragically juxtaposed with a history marred by brutal civil wars and the devastating 2014 Ebola epidemic. Today, Liberia is rebuilding. It holds a significant portion of the remaining Upper Guinean rainforest, a biodiversity hotspot with pygmy hippos and world-class, undiscovered surf spots. Economically, it's a major 'flag of convenience' for the world's shipping, a curious fact for this resilient nation.",LR,602,7,No,利比里亚
Libya,"Berber, Arabic","Libya, Lībiyā ليبيا","6,888,388",105,2,1.12%,83,3,"39,006",95,1,"5,663",101,2,Africa,Tripoli,Provisional,1759540,16,5,Libyan dinar,44.1,181,2,"Arid; hot, desert climate",,,40.22,144,1,0.718,103,4,"Vast and ancient, 90% of Libya is engulfed by the Sahara Desert, yet it boasts North Africa's longest Mediterranean coastline. It is a treasure trove of antiquity, home to five UNESCO World Heritage sites, including the stunningly preserved Roman city of Leptis Magna and the ancient Greek metropolis of Cyrene. Its modern wealth is built on Africa's largest oil reserves, which funded the 'Great Man-Made River,' an immense irrigation project. Since the 2011 fall of Gaddafi, however, Libya has been fractured by civil conflict, posing a grave threat to its invaluable historical legacy and future.",LY,599,5,No,利比亚
Liechtenstein,German,Liechtenstein,"39,585",189,1,0.66%,122,2,"6,608",153,1,"166,932",2,5,Europe,Vaduz,Constitutional monarchy,160,190,1,Swiss franc,24.7,6,5,"Continental; alpine, variable",,,84.47,11,4,0.935,15,5,"A tiny, 'double-landlocked' alpine principality, Liechtenstein is one of the world's richest nations per capita, yet has no airport and no army. Its wealth comes from being a financial hub, but it's also the world's largest producer of false teeth, with more registered companies than citizens. Crime is so low that locals don't lock their doors, and women only gained the vote in 1984. Once a year, the prince invites the entire population for a beer at his castle. This quirky, prosperous microstate is a unique blend of monarchy, industry, and quiet Alpine life.",LI,565,13,No,列支敦士登
Lithuania,Lithuanian,Lietuva,"2,718,352",139,2,-1.15%,192,1,"66,445",78,2,"24,443",41,4,Europe,Vilnius,Republic,65300,121,2,European euro,35.1,73,4,"Continental; variable, moderate rainfall",Yes,Yes,86.79,7,5,0.875,34,5,"Lithuania, a nation of resilient history, was once Europe's largest state in the 15th century. Its language is one of the oldest living Indo-European tongues, sharing roots with Sanskrit. It was the last bastion of European paganism. In 1989, the Baltic Way, a human chain of two million people, showed a powerful peaceful resistance to Soviet rule, leading to it being the first republic to declare independence. Its capital, Vilnius, is unique for allowing hot air balloons over its historic old town and is famous for its shocking pink cold beet soup, Šaltibarščiai.",LT,569,9,No,立陶宛
Luxembourg,"French, German, Luxembourgish","Luxembourg, Luxemburg, Lëtezebuerg","654,768",163,1,1.11%,84,3,"85,506",68,2,"130,590",3,5,Europe,Luxembourg (city),Constitutional monarchy,2586,168,1,European euro,34.2,60,4,"Temperate; mild, moderate rainfall",Yes,Yes,81.98,20,4,0.93,16,5,"The world's last Grand Duchy, Luxembourg, shows how a small nation can have a massive impact. It boasts one of the highest GDP per capita globally and is a major financial hub due to favorable tax laws. Its capital, a UNESCO World Heritage site, is built around ancient fortifications and vast underground casemates. With free public transport for all, exploring its many castles is easy. Luxembourg is a true multinational state, with almost half its population being foreign nationals.",LU,487,10,No,卢森堡
Madagascar,"French, Malagasy","Madagascar, Madagasikara","30,325,732",50,3,2.41%,29,4,"14,450",132,1,476,187,1,Africa,Antananarivo,Republic,587041,46,4,Malagasy ariary,42.6,139,3,Tropical; varies with elevation,,,56.66,97,2,0.501,172,2,"The world's fourth-largest island, Madagascar is a realm of extraordinary biodiversity, with 90% of its wildlife found nowhere else. It is the exclusive home to all 100+ lemur species and majestic baobab trees. The Malagasy culture is a unique blend of Southeast Asian and African influences, with a deep reverence for ancestors shown through ceremonies like 'famadihana' or 'turning of the bones'. Despite its natural wealth and being a top vanilla producer, Madagascar faces extreme poverty, political instability, and severe environmental degradation from deforestation.",MG,573,10,No,马达加斯加
Malawi,"Chichewa, English","Malaŵi, Malawi","20,931,751",61,3,2.58%,22,4,"12,199",141,1,583,183,1,Africa,Lilongwe,Republic,118484,99,3,Malawian kwacha,38.5,106,3,"Tropical; hot, wet/dry seasons",,,60.34,79,2,0.512,168,2,"Malawi, the 'Warm Heart of Africa', is renowned for the friendliness of its people. Its landscape is dominated by Lake Malawi, a UNESCO World Heritage Site dubbed 'The Lake of Stars' by explorer David Livingstone. This massive freshwater lake boasts the highest number of fish species on Earth. Malawi's economy is agrarian, heavily reliant on tobacco. Despite its natural beauty, the nation is one of the world's poorest and grapples with significant challenges, including a high rate of child marriage that curtails opportunities for girls, and a severe HIV/AIDS epidemic.",MW,574,6,No,马拉维
Malaysia,"Mandarin Chinese, Malay, Tamil","Mǎláixīyà 马来西亚, Malaysia, மலேசியா","34,308,525",46,3,1.09%,85,3,"372,702",39,3,"10,863",67,3,Asia,Kuala Lumpur,Constitutional monarchy,330803,67,3,Malaysian ringgit,41.2,130,3,"Tropical; hot, humid, rainy",,,62.83,71,2,0.803,61,4,"Malaysia is a vibrant nation of contrasts, split between Peninsular Malaysia and East Malaysia on Borneo, with a unique rotating monarchy. Its landscape features modern marvels like the Petronas Towers, the world's tallest twin buildings, and immense natural wonders like the Sarawak Cave Chamber. A megadiverse country, its rainforests harbor the critically endangered Malayan tiger and the giant Rafflesia flower. This cultural mosaic of Malay, Chinese, and Indian influences faces ongoing racial tensions and environmental challenges from its large-scale palm oil industry.",MY,576,8,No,马来西亚
Maldives,Dhivehi,Dhivehi Raajje,"523,787",168,1,0.53%,136,2,"5,406",155,1,"10,321",69,3,Asia,Male,Republic,300,187,1,Maldivian rufiyaa,29.3,27,5,"Tropical; hot, humid, sunny",,,56.93,96,2,0.747,89,4,"The Maldives, a breathtaking archipelago of over a thousand coral islands in the heart of the Indian Ocean, presents a picture of a tropical paradise. Famed for its idyllic white-sand beaches, luxurious overwater bungalows, and vibrant coral reefs teeming with marine life, it has cultivated an economy almost entirely dependent on high-end tourism. However, this paradise is fragile. As one of the world's lowest-lying nations, it faces an existential threat from rising sea levels due to climate change, a stark reality that casts a shadow over its sun-drenched image.",MV,570,8,No,马尔代夫
Mali,"Bambara, French","Mali, Mali","23,293,699",57,3,3.10%,6,5,"19,157",114,1,822,175,1,Africa,Bamako,Provisional,1240192,23,5,West African CFA franc,36.1,86,4,"Arid; hot, desert regions",,,52.29,109,2,0.428,185,1,"Mali, a landlocked West African nation, has a rich heritage from great historical empires that controlled trans-Saharan trade. Its musical traditions are legendary. This proud history contrasts with its present struggles: a severe security crisis from extremist insurgencies and ethnic conflicts, compounded by a fragile political landscape with recurrent military coups. These challenges persist despite international intervention, undermining governance and development.",ML,472,4,No,马里
Malta,"English, Maltese","Malta, Malta","535,065",167,1,0.33%,147,2,"17,721",121,1,"33,119",30,4,Europe,Valletta,Republic,316,186,1,European euro,31,40,4,"Mediterranean; hot summers, mild winters",Yes,Yes,59.76,81,2,0.918,23,5,"Malta, a small Mediterranean archipelago, is steeped in millennia of history. Its strategic location made it a crossroads of civilizations, leaving a legacy of prehistoric temples, medieval fortresses from the Knights of St. John, and Baroque cities. This historical allure, vibrant culture, and sunny climate make it a major European tourist hotspot. Recently, Malta became a hub for iGaming and blockchain technology. However, this success is tarnished by serious allegations of high-level political corruption and international scrutiny over its controversial 'golden passport' scheme.",MT,588,5,No,马耳他
Marshall Islands,"English, Marshallese","Marshall Islands, Aorōkin M̧ajeļ","41,996",188,1,1.03%,91,3,257,190,1,"6,120",96,2,Oceania,Majuro,Republic,181,189,1,United States dollar,35.5,77,4,"Tropical; hot, humid, rainy",,,-,-,0,0.639,130,3,"The Marshall Islands, a sprawling chain of Pacific volcanic islands and coral atolls, are a place of profound contrasts. They have breathtaking natural beauty, but also a dark Cold War legacy from extensive US nuclear testing, which left a lasting scar of radiation and health problems. Today, the nation faces an existential threat from climate change. With a low average elevation, rising sea levels threaten to submerge the islands entirely, while its economy is heavily dependent on international aid.",MH,505,16,No,马绍尔群岛
Mauritania,"Arabic, Berer","Muritan / Agawec, Mūrītānyā موريتانيا","4,862,989",124,2,2.68%,19,4,"9,996",145,1,"2,056",146,2,Africa,Nouakchott,Republic,1030700,28,5,Mauritanian ouguiya,32.6,46,4,"Desert; hot, arid",,,59.45,83,2,0.556,157,2,"Mauritania, where the Sahara meets the Atlantic, is a cultural bridge between Arab North Africa and Sub-Saharan Africa. Its economy relies on iron ore and fishing, but wealth is concentrated and development uneven. Known for its nomadic traditions, Mauritania is plagued by severe challenges. It has one of the world's most entrenched systems of hereditary slavery, which persists despite official abolition. The authoritarian political system has a poor human rights record, and its reliance on commodity exports makes it vulnerable to global price shocks.",MR,557,10,No,毛里塔尼亚
Mauritius,"English, French, Mauritian Creole","Mauritius, Maurice, Moris","1,300,557",154,1,0.08%,161,2,"11,525",142,1,"8,862",76,2,Africa,Port Louis,Republic,2040,169,1,Mauritian rupee,36.8,91,4,"Tropical; warm, dry winter",,,65.56,61,3,0.802,64,4,"Mauritius, an island nation of volcanic origin in the Indian Ocean, is a melting pot of cultures, with Hindu temples, churches, and mosques coexisting peacefully. Once the home of the extinct dodo bird, it was uninhabited until Arab sailors arrived, later becoming a strategic prize for European powers. Now, it's a stable democracy and one of Africa's wealthiest nations, its economy built on tourism, sugar, and financial services. Beyond the idyllic beaches and reefs, its history is marked by the painful legacy of slavery and indentured labor that shaped its diverse population.",MU,583,9,No,毛里求斯
Mexico,"Nahuatl, Spanish","Mēxihco, México","128,455,567",10,5,0.75%,112,2,"1,272,839",15,4,"9,909",70,2,North America,Mexico City,Republic,1964375,13,5,Mexican peso,45.4,153,2,Diverse; desert to tropical,,,47.98,124,2,0.758,85,4,"Mexico, a cradle of ancient civilizations like the Maya and Aztec, boasts landscapes from searing deserts to dense rainforests. Its cultural fabric is a vibrant tapestry of indigenous and Spanish colonial influences, seen in its world-renowned cuisine—birthing corn, chocolate, and chiles—and explosive Day of the Dead celebrations. Home to artists like Frida Kahlo, its global influence is immense. Yet, this nation of contrasts grapples with a dark side: pervasive crime, deep-rooted corruption, and staggering inequality that overshadow its profound beauty.",MX,560,6,No,墨西哥
Micronesia,English,Federated States of Micronesia,"115,224",180,1,0.93%,97,2,404,189,1,"3,506",128,2,Oceania,Palikir,Republic,702,177,1,United States dollar,40.1,121,3,"Tropical; hot, rainy season",,,-,-,0,0.628,133,3,"The Federated States of Micronesia consists of 607 islands scattered across the Western Pacific, grouped into four states: Yap, Chuuk, Pohnpei, and Kosrae. These islands harbor unique cultures, from Yap's giant, doughnut-shaped stone money to the mysterious ancient city of Nan Madol on Pohnpei, a network of artificial islets. Chuuk Lagoon is a world-famous wreck diving site, holding a vast Japanese fleet sunk during WWII. Heavily reliant on a Compact of Free Association with the US for its economic survival, the nation's very existence is in peril due to rising sea levels caused by climate change.",FM,604,10,No,密克罗西亚
Moldova,Romanian,Moldova,"3,435,931",132,2,4.98%,2,5,"13,680",137,1,"3,981",118,2,Europe,Chisinau,Republic,33846,135,2,Moldovan leu,26,13,5,"Temperate; continental, moderate",,,77.62,28,4,0.767,79,4,"Moldova, a landlocked nation between Romania and Ukraine, is one of Europe’s least-explored corners. Its fertile soil supports vast vineyards and the world's largest wine cellars at Mileștii Mici. A former Soviet republic, its identity is a tug-of-war between European aspirations and Russian ties, embodied by the breakaway territory of Transnistria, a frozen-conflict zone where Soviet symbols persist. Plagued by corruption and mass emigration, it is one of Europe's poorest countries, a hidden gem with a complex soul.",MD,522,7,No,摩尔多瓦
Monaco,"French, Monégasque","Monaca, Múnegu","36,298",190,1,-0.47%,186,1,"8,596",149,1,"236,817",1,5,Europe,Monaco,Constitutional monarchy,2,194,1,European euro,-,-,0,"Mediterranean; mild, sunny",,,-,-,0,-,-,0,"Monaco, the world's second-smallest state and most densely populated, is a glittering sliver of land on the French Riviera. Ruled by the Grimaldi family since the 13th century, it's a playground for the ultra-rich, lured by its zero-income-tax policy, opulent Monte Carlo Casino, and the roaring engines of the Formula 1 Grand Prix. Its citizens, known as Monégasques, are a minority in their own country, outnumbered by wealthy foreign residents. Beyond the facade of glamour and high-stakes finance, Prince Albert II champions marine conservation, a surprising priority for this concrete principality.",MC,603,6,No,摩纳哥
Mongolia,Mongolia,Mongol Uls Монгол Улс,"3,447,157",131,2,1.44%,69,3,"15,098",128,1,"4,380",114,2,Asia,Ulaanbaatar,Republic,1564110,18,5,Mongolian tugrik,32.7,47,4,"Continental; hot summers, frigid winters",,,59.33,85,2,0.739,95,4,"Mongolia, birthplace of Genghis Khan's empire that once conquered half the world, remains largely nomadic with herders living in traditional yurts across endless steppes. Landlocked between China and Russia, it experiences extreme temperatures from -40°C winters to scorching summers. Despite massive copper and gold mines making it resource-rich, most Mongolians still practice ancient traditions of horseback riding and eagle hunting in the Gobi Desert, where dinosaur fossils are regularly discovered.",MN,504,8,No,蒙古
Montenegro,Montenegrin,Crna Gora Црна Гора,"626,485",164,1,-0.10%,174,1,"5,809",154,1,"9,272",75,2,Europe,Podgorica,Republic,13812,156,2,European euro,32.9,50,4,"Mediterranean; hot summers, mild winters",,,74.28,38,3,0.832,48,4,"Montenegro, one of Europe's youngest nations (independent since 2006), packs dramatic contrasts into this remarkably tiny Balkan jewel. Its name means ""Black Mountain,"" featuring fjord-like bays, medieval towns, and Europe's deepest canyon. Despite stunning natural beauty attracting luxury tourism and billionaire investors, it struggles with organized crime networks and corruption that have infiltrated government institutions, earning it a notorious reputation as a money-laundering haven for Russian oligarchs.",ME,515,10,No,黑山
Morocco,"Arabic, Berber","Al-maɣréb المغرب, Amerruk / Elmeɣrib","37,840,044",39,3,1.02%,92,3,"142,867",57,2,"3,776",124,2,Africa,Rabat,Constitutional monarchy,446550,57,3,Moroccan dirham,39.5,117,3,Diverse; Mediterranean to arid,,,43.69,139,1,0.683,122,3,"Morocco serves as Africa's gateway to Europe, where ancient Berber traditions blend with Arab culture in mesmerizing medinas filled with snake charmers and spice merchants. Home to the Sahara Desert's golden dunes and snow-capped Atlas Mountains, it's a favorite Hollywood filming location. The world's largest phosphate exporter, Morocco controversially occupies Western Sahara while maintaining one of the world's last absolute monarchies, where colorful souks, mint tea rituals, and architectural marvels captivate millions.",MA,527,7,No,摩洛哥
Mozambique,Portuguese,Moçambique,"33,897,354",48,3,2.81%,13,4,"15,777",127,1,465,188,1,Africa,Maputo,Republic,801590,35,4,Mozambican metical,54,176,1,Tropical; wet and dry seasons,,,56.13,98,2,0.446,184,1,"Mozambique endured one of Africa's bloodiest civil wars (1977-1992), killing over a million people and leaving the country devastated with landmines still buried today. Despite discovering massive natural gas reserves that could transform its economy, it remains one of the world's poorest nations. The 1,500-mile coastline faces constant cyclone threats, while northern regions battle Islamic insurgency. Portuguese colonial architecture contrasts sharply with widespread poverty in this linguistically unique African Portuguese-speaking nation.",MZ,546,10,No,莫桑比克
Myanmar,Burmese,Myanma မြန်မာ,"54,577,997",27,4,0.74%,114,2,"58,582",84,2,"1,073",165,1,Asia,Naypyidaw,Provisional,676578,39,4,Myanmar kyat,30.7,36,4,"Tropical; monsoon, hot, humid",,,28.26,168,1,0.585,148,2,"Myanmar, the ""Golden Land"" of thousands of ancient Buddhist temples, spent decades as a hermit kingdom under brutal military rule that imprisoned Nobel laureate Aung San Suu Kyi. Home to the persecuted Rohingya minority facing genocide allegations, the country briefly tasted democracy before a 2021 military coup plunged it back into chaos. Despite rich jade, ruby, and natural gas reserves, widespread protests, internet blackouts, and international sanctions have crippled this diverse nation of 135 ethnic groups speaking over 100 languages.",MM,545,7,No,缅甸
